flow_id,month,entries,emails_delivered,open_rate,click_rate,conversions,revenue_usd,unsubscribes
flow_review,2025-10,3622,5070,0.47,0.09,0,0.0,6
flow_vip,2025-10,474,663,0.36,0.052,9,736.6,1
flow_welcome,2025-11,3945,11440,0.52,0.118,330,17830.07,21
flow_cart_2024,2025-11,2789,5299,0.51,0.135,172,10893.83,10
flow_browse,2025-11,5371,5639,0.44,0.083,112,6541.88,9
flow_winback,2025-11,1819,4911,0.31,0.036,14,829.46,26
flow_sunset,2025-11,2673,4811,0.19,0.041,0,0.0,5
flow_postpurchase,2025-11,4128,5779,0.58,0.14,132,6472.7,7
flow_backinstock,2025-11,230,322,0.71,0.34,43,2884.2,0
flow_bday,2025-11,610,854,0.62,0.22,67,3891.8,1
flow_review,2025-11,4106,5748,0.47,0.09,0,0.0,7
flow_vip,2025-11,452,632,0.36,0.052,9,702.41,1
flow_welcome,2025-12,3720,10788,0.52,0.118,316,17100.03,19
flow_cart_2024,2025-12,2528,4803,0.51,0.135,156,9874.37,9
flow_browse,2025-12,4994,5243,0.44,0.083,104,6082.69,8
flow_winback,2025-12,1893,5111,0.31,0.036,15,863.21,27
flow_sunset,2025-12,2244,4039,0.19,0.041,0,0.0,4
flow_postpurchase,2025-12,4273,5982,0.58,0.14,136,6700.06,7
flow_backinstock,2025-12,244,341,0.71,0.34,46,3059.76,0
flow_bday,2025-12,583,816,0.62,0.22,64,3719.54,1
flow_review,2025-12,3613,5058,0.47,0.09,0,0.0,6
flow_vip,2025-12,458,641,0.36,0.052,9,711.73,1
flow_welcome,2026-01,4045,11730,0.52,0.118,333,18021.09,21
flow_cart_2024,2026-01,2394,4548,0.51,0.135,148,9350.96,9
flow_browse,2026-01,5281,5545,0.44,0.083,110,6432.26,9
flow_winback,2026-01,1915,5170,0.31,0.036,15,873.24,27
flow_sunset,2026-01,2374,4273,0.19,0.041,0,0.0,4
flow_postpurchase,2026-01,3916,5482,0.58,0.14,125,6140.29,7
flow_backinstock,2026-01,249,348,0.71,0.34,47,3122.46,0
flow_bday,2026-01,590,826,0.62,0.22,64,3764.2,1
flow_review,2026-01,4188,5863,0.47,0.09,0,0.0,7
flow_vip,2026-01,481,673,0.36,0.052,10,747.47,1
flow_welcome,2026-02,3636,10544,0.52,0.118,301,16291.53,19
flow_cart_2024,2026-02,2497,4744,0.51,0.135,154,9753.28,9
flow_browse,2026-02,5517,5792,0.44,0.083,115,6719.71,9
flow_winback,2026-02,1819,4911,0.31,0.036,14,829.46,26
flow_sunset,2026-02,0,0,0.19,0.041,0,0.0,0
flow_postpurchase,2026-02,4220,5908,0.58,0.14,135,6616.96,7
flow_backinstock,2026-02,244,341,0.71,0.34,46,3059.76,0
flow_bday,2026-02,633,886,0.62,0.22,69,4038.54,1
flow_review,2026-02,3883,5436,0.47,0.09,0,0.0,7
flow_vip,2026-02,468,655,0.36,0.052,9,727.27,1
flow_welcome,2026-03,3658,10608,0.52,0.118,310,16787.89,19
flow_cart_v2,2026-03,2613,6793,0.55,0.16,185,12244.52,28
flow_cart_2024,2026-03,1097,2085,0.49,0.105,53,3280.31,9
flow_browse,2026-03,5491,5765,0.44,0.083,115,6688.04,9
flow_winback,2026-03,1910,5157,0.31,0.036,15,870.96,27
flow_sunset,2026-03,0,0,0.19,0.041,0,0.0,0
flow_postpurchase,2026-03,3992,5588,0.58,0.14,127,6259.46,7
flow_backinstock,2026-03,243,340,0.71,0.34,46,3047.22,0
flow_bday,2026-03,582,814,0.62,0.22,64,3713.16,1
flow_review,2026-03,3630,5082,0.47,0.09,0,0.0,6
flow_vip,2026-03,476,666,0.36,0.052,9,739.7,1
flow_welcome,2026-04,3674,10654,0.52,0.118,307,16586.95,19
flow_cart_v2,2026-04,2446,6359,0.55,0.16,173,11461.96,26
flow_cart_2024,2026-04,1027,1951,0.49,0.105,50,3070.66,9
flow_browse,2026-04,5012,5262,0.44,0.083,105,6104.62,8
flow_winback,2026-04,1684,4546,0.31,0.036,13,767.9,24
flow_sunset,2026-04,0,0,0.19,0.041,0,0.0,0
flow_postpurchase,2026-04,4027,5637,0.58,0.14,128,6314.34,7
flow_backinstock,2026-04,220,308,0.71,0.34,41,2758.8,0
flow_bday,2026-04,624,873,0.62,0.22,68,3981.12,1
flow_review,2026-04,3954,5535,0.47,0.09,0,0.0,7
flow_vip,2026-04,496,694,0.36,0.052,10,770.78,1
flow_welcome,2026-05,4057,11765,0.52,0.118,330,17823.22,21
flow_cart_v2,2026-05,2526,6567,0.55,0.16,179,11836.84,27
flow_cart_2024,2026-05,1060,2015,0.49,0.105,51,3171.09,9
flow_browse,2026-05,5425,5696,0.44,0.083,113,6607.65,9
flow_winback,2026-05,1917,5175,0.31,0.036,15,874.15,27
flow_sunset,2026-05,0,0,0.19,0.041,0,0.0,0
flow_postpurchase,2026-05,4295,6013,0.58,0.14,137,6734.56,7
flow_backinstock,2026-05,247,345,0.71,0.34,46,3097.38,0
flow_bday,2026-05,642,898,0.62,0.22,70,4095.96,1
flow_review,2026-05,3577,5007,0.47,0.09,0,0.0,6
flow_vip,2026-05,470,658,0.36,0.052,9,730.38,1
flow_welcome,2026-06,3784,10973,0.52,0.118,167,9033.69,20
flow_cart_v2,2026-06,2532,6583,0.55,0.16,179,11864.95,27
flow_cart_2024,2026-06,1063,2020,0.49,0.105,52,3178.62,9
flow_browse,2026-06,5112,5367,0.44,0.083,107,6226.42,9
flow_winback,2026-06,1921,5186,0.31,0.036,15,875.98,27
flow_sunset,2026-06,0,0,0.19,0.041,0,0.0,0
flow_postpurchase,2026-06,4481,6273,0.58,0.14,143,7026.21,8
flow_backinstock,2026-06,228,319,0.71,0.34,43,2859.12,0
flow_bday,2026-06,576,806,0.62,0.22,63,3674.88,1
flow_review,2026-06,3975,5565,0.47,0.09,0,0.0,7
flow_vip,2026-06,506,708,0.36,0.052,10,786.32,1
flow_welcome,2026-07,3820,11078,0.52,0.118,168,9100.27,20
flow_cart_v2,2026-07,2700,7020,0.55,0.16,191,12652.2,29
flow_cart_2024,2026-07,1134,2154,0.49,0.105,55,3389.53,9
flow_browse,2026-07,5295,5559,0.44,0.083,52,3071.1,9
flow_winback,2026-07,1821,4916,0.31,0.036,14,830.38,26
flow_sunset,2026-07,0,0,0.19,0.041,0,0.0,0
flow_postpurchase,2026-07,4150,5810,0.58,0.14,132,6507.2,7
flow_backinstock,2026-07,244,341,0.71,0.34,46,3059.76,0
flow_bday,2026-07,628,879,0.62,0.22,69,4006.64,1
flow_review,2026-07,3730,5222,0.47,0.09,0,0.0,6
flow_vip,2026-07,455,637,0.36,0.052,9,707.07,1
