flow_id,month,entries,emails_delivered,open_rate,click_rate,col_extra,conversions,revenue_usd
flow_welcome,2026-02,6480,12312,0.49,0.128,514,265,70405.2
flow_cart,2026-02,3466,6412,0.57,0.19,171,214,61888.9
flow_winback,2026-02,8946,16102,0.24,0.021,0,9,1161.19
flow_postpurchase,2026-02,2044,5518,0.61,0.135,0,36,2722.61
flow_backinstock,2026-02,691,691,0.66,0.31,0,27,8292.0
flow_referral,2026-02,2944,3091,0.52,0.088,0,35,9185.28
flow_welcome,2026-03,5752,10928,0.49,0.128,81,51,13718.52
flow_cart,2026-03,3280,6068,0.57,0.19,166,203,58567.68
flow_winback,2026-03,8632,15537,0.24,0.021,0,9,1120.43
flow_postpurchase,2026-03,2251,6077,0.61,0.135,0,40,2998.33
flow_backinstock,2026-03,636,636,0.66,0.31,0,25,7632.0
flow_referral,2026-03,3075,3228,0.52,0.088,0,36,9594.0
flow_welcome,2026-04,5983,11367,0.49,0.128,84,53,14269.45
flow_cart,2026-04,3808,7044,0.57,0.19,198,236,67995.65
flow_winback,2026-04,8876,15976,0.24,0.021,0,9,1152.1
flow_postpurchase,2026-04,2103,5678,0.61,0.135,0,37,2801.2
flow_backinstock,2026-04,781,781,0.66,0.31,0,31,9372.0
flow_referral,2026-04,3031,3182,0.52,0.088,0,36,9456.72
flow_welcome,2026-05,6334,12034,0.49,0.128,89,57,15106.59
flow_cart,2026-05,3239,5992,0.57,0.19,172,200,57835.58
flow_winback,2026-05,9240,16632,0.24,0.021,0,10,1199.35
flow_postpurchase,2026-05,2301,6212,0.61,0.135,0,41,3064.93
flow_backinstock,2026-05,693,693,0.66,0.31,0,27,8316.0
flow_referral,2026-05,2827,2968,0.52,0.088,0,33,8820.24
flow_welcome,2026-06,5827,11071,0.49,0.128,82,52,13897.39
flow_cart,2026-06,3552,6571,0.57,0.19,193,220,63424.51
flow_winback,2026-06,8988,16178,0.24,0.021,0,9,1166.64
flow_postpurchase,2026-06,2100,5670,0.61,0.135,0,37,2797.2
flow_backinstock,2026-06,625,625,0.66,0.31,0,25,7500.0
flow_referral,2026-06,3143,3300,0.52,0.088,0,37,9806.16
flow_welcome,2026-07,6318,12004,0.49,0.128,89,56,15068.43
flow_cart,2026-07,3396,6282,0.57,0.19,188,210,60638.98
flow_winback,2026-07,9342,16815,0.24,0.021,0,10,1212.59
flow_postpurchase,2026-07,1985,5359,0.61,0.135,0,35,2644.02
flow_backinstock,2026-07,752,752,0.66,0.31,0,30,9024.0
flow_referral,2026-07,2750,2887,0.52,0.088,0,33,8580.0
