campaign_id,send_date,name,channel,audience_segment,delivered,open_rate,click_rate,conversions,revenue_usd,unsubscribes
cmp_528,2025-06-15,Campaign 528,email,seg_luggage_owners,152542,0.428,0.0102,546,118753.23,225
cmp_529,2025-06-19,Campaign 529,email,seg_engaged_90,256826,0.408,0.011,992,240835.67,235
cmp_530,2025-06-23,Campaign 530,email,seg_accessories_only,88025,0.334,0.0107,330,84973.86,115
cmp_531,2025-07-03,Campaign 531,email,seg_full_list,875328,0.208,0.0064,1973,442511.69,1838
cmp_532,2025-07-07,Campaign 532,email,seg_full_list,878109,0.201,0.0072,2208,480182.59,1547
cmp_533,2025-07-11,Campaign 533,email,seg_engaged_90,226859,0.369,0.0115,915,197852.95,314
cmp_534,2025-07-15,Campaign 534,email,seg_insiders,18892,0.372,0.0127,83,18771.8,24
cmp_535,2025-07-19,Campaign 535,email,seg_accessories_only,86051,0.392,0.0117,351,84240.83,79
cmp_536,2025-07-23,Campaign 536,email,seg_accessories_only,85359,0.394,0.0128,381,70646.6,102
cmp_537,2025-08-03,Campaign 537,email,seg_full_list,873654,0.22,0.0067,2046,498946.21,2070
cmp_538,2025-08-07,Campaign 538,email,seg_full_list,880659,0.203,0.005,1526,336480.37,1681
cmp_539,2025-08-11,Campaign 539,email,seg_insiders,19428,0.395,0.0117,79,23131.33,15
cmp_540,2025-08-15,Campaign 540,email,seg_insiders,18986,0.368,0.0093,61,14263.45,25
cmp_541,2025-08-19,Campaign 541,email,seg_luggage_owners,142698,0.38,0.0109,543,143982.16,180
cmp_542,2025-08-23,Campaign 542,email,seg_insiders,20952,0.374,0.0095,70,16338.02,25
cmp_543,2025-09-03,Campaign 543,email,seg_full_list,890316,0.199,0.0054,1692,396748.45,2325
cmp_544,2025-09-07,Campaign 544,email,seg_full_list,891681,0.22,0.0067,2084,420304.45,1414
cmp_545,2025-09-11,Campaign 545,email,seg_insiders,18838,0.428,0.0118,77,22655.11,20
cmp_546,2025-09-15,Campaign 546,email,seg_insiders,18982,0.355,0.0117,77,17560.43,17
cmp_547,2025-09-19,Campaign 547,email,seg_insiders,19472,0.431,0.0109,74,18226.53,21
cmp_548,2025-09-23,Campaign 548,email,seg_engaged_90,241012,0.422,0.0112,946,269177.23,289
cmp_549,2025-10-03,Campaign 549,email,seg_full_list,880399,0.201,0.006,1836,417201.06,1860
cmp_550,2025-10-07,Campaign 550,email,seg_full_list,906066,0.187,0.0044,1394,330638.7,1684
cmp_551,2025-10-11,Campaign 551,email,seg_engaged_90,237234,0.376,0.0129,1071,297082.36,199
cmp_552,2025-10-15,Campaign 552,email,seg_insiders,18663,0.372,0.0118,77,15564.66,25
cmp_553,2025-10-19,Campaign 553,email,seg_insiders,19497,0.385,0.0107,72,22859.06,19
cmp_554,2025-10-23,Campaign 554,email,seg_accessories_only,85878,0.379,0.0114,343,87697.73,136
cmp_555,2025-11-03,Campaign 555,email,seg_full_list,876731,0.217,0.0058,1769,424682.91,1650
cmp_556,2025-11-07,Campaign 556,email,seg_full_list,869122,0.215,0.0053,1624,401080.67,1890
cmp_557,2025-11-11,Campaign 557,email,seg_luggage_owners,148400,0.418,0.0104,541,134734.81,183
cmp_558,2025-11-15,Campaign 558,email,seg_insiders,18904,0.381,0.0104,68,12485.57,17
cmp_559,2025-11-19,Campaign 559,email,seg_accessories_only,85206,0.418,0.01,299,72774.93,83
cmp_560,2025-11-23,Campaign 560,email,seg_luggage_owners,141098,0.404,0.0091,449,100103.06,203
cmp_561,2025-12-03,Campaign 561,email,seg_full_list,891393,0.218,0.004,1258,270778.35,1611
cmp_562,2025-12-07,Campaign 562,email,seg_full_list,878768,0.206,0.0056,1723,468035.73,1585
cmp_563,2025-12-11,Campaign 563,email,seg_luggage_owners,135111,0.402,0.0116,549,128750.97,171
cmp_564,2025-12-15,Campaign 564,email,seg_insiders,19463,0.378,0.0123,83,18268.21,23
cmp_565,2025-12-19,Campaign 565,email,seg_engaged_90,243109,0.414,0.0114,971,263936.23,217
cmp_566,2025-12-23,Campaign 566,email,seg_luggage_owners,141554,0.392,0.0108,537,138648.63,148
cmp_567,2026-01-03,Campaign 567,email,seg_full_list,898931,0.212,0.0049,1533,343821.71,1789
cmp_568,2026-01-07,Campaign 568,email,seg_full_list,899363,0.202,0.0075,2364,580034.19,2077
cmp_569,2026-01-11,Campaign 569,email,seg_accessories_only,83277,0.407,0.0123,359,92323.97,88
cmp_570,2026-01-15,Campaign 570,email,seg_engaged_90,232875,0.414,0.0115,935,239446.94,238
cmp_571,2026-01-19,Campaign 571,email,seg_insiders,19501,0.398,0.012,81,21114.84,21
cmp_572,2026-01-23,Campaign 572,email,seg_luggage_owners,147832,0.393,0.0117,607,159307.67,141
cmp_573,2026-02-03,Campaign 573,email,seg_full_list,884491,0.188,0.0073,2245,612663.07,1320
cmp_574,2026-02-07,Campaign 574,email,seg_full_list,887088,0.215,0.0061,1894,425632.59,1870
cmp_575,2026-02-11,Campaign 575,email,seg_luggage_owners,131752,0.414,0.0103,476,121996.77,202
cmp_576,2026-02-15,Campaign 576,email,seg_luggage_owners,149131,0.378,0.0098,512,97530.64,154
cmp_577,2026-02-19,Campaign 577,email,seg_accessories_only,87532,0.408,0.0118,361,79716.18,84
cmp_578,2026-02-23,Campaign 578,email,seg_luggage_owners,136791,0.431,0.0104,496,136896.79,149
cmp_579,2026-03-03,Campaign 579,email,seg_full_list,894065,0.218,0.0069,2145,474437.05,1907
cmp_580,2026-03-07,Campaign 580,email,seg_full_list,884389,0.202,0.006,1870,485471.78,2173
cmp_581,2026-03-11,Campaign 581,email,seg_accessories_only,81526,0.401,0.0115,328,76583.27,89
cmp_582,2026-03-15,Campaign 582,email,seg_accessories_only,86153,0.411,0.0111,336,74503.46,115
cmp_583,2026-03-19,Campaign 583,email,seg_accessories_only,86987,0.393,0.0113,342,83735.49,87
cmp_584,2026-03-23,Campaign 584,email,seg_insiders,20299,0.414,0.0121,85,26086.08,26
cmp_585,2026-04-03,Campaign 585,email,seg_full_list,898262,0.211,0.0056,1752,444797.59,1395
cmp_586,2026-04-07,Campaign 586,email,seg_full_list,890509,0.204,0.0063,1951,419339.79,1629
cmp_587,2026-04-11,Campaign 587,email,seg_luggage_owners,138461,0.404,0.0114,550,175235.33,135
cmp_588,2026-04-15,Campaign 588,email,seg_luggage_owners,150421,0.364,0.012,634,150526.0,180
cmp_589,2026-04-19,Campaign 589,email,seg_engaged_90,233696,0.377,0.0115,941,218542.71,208
cmp_590,2026-04-23,Campaign 590,email,seg_accessories_only,89012,0.404,0.012,373,66045.25,117
cmp_591,2026-05-03,Campaign 591,email,seg_full_list,889304,0.204,0.005,1567,358091.19,1983
cmp_592,2026-05-07,Campaign 592,email,seg_full_list,886060,0.215,0.0056,1727,344681.63,1413
cmp_593,2026-05-11,Campaign 593,email,seg_engaged_90,251674,0.412,0.01,882,229430.85,315
cmp_594,2026-05-15,Campaign 594,email,seg_accessories_only,80286,0.406,0.0118,331,85310.58,89
cmp_595,2026-05-19,Campaign 595,email,seg_insiders,18098,0.362,0.0097,61,13947.0,23
cmp_596,2026-05-23,Campaign 596,email,seg_luggage_owners,145026,0.365,0.0115,582,122514.55,229
cmp_597,2026-06-03,Campaign 597,email,seg_full_list,861279,0.197,0.0046,1384,315955.56,1576
cmp_598,2026-06-07,Campaign 598,email,seg_full_list,886935,0.216,0.0067,2074,458993.64,1567
cmp_599,2026-06-11,Campaign 599,email,seg_accessories_only,84751,0.375,0.0108,320,76086.37,79
cmp_600,2026-06-15,Campaign 600,email,seg_accessories_only,86826,0.375,0.0101,306,82780.33,107
cmp_601,2026-06-19,Campaign 601,email,seg_accessories_only,86224,0.4,0.0098,296,70528.08,92
cmp_602,2026-06-23,Campaign 602,email,seg_luggage_owners,137566,0.411,0.0104,499,103217.21,130
cmp_603,2026-07-03,Campaign 603,email,seg_full_list,884541,0.219,0.0036,1127,288271.46,1989
cmp_604,2026-07-07,Campaign 604,email,seg_full_list,871298,0.216,0.0069,2117,588553.43,2018
cmp_605,2026-07-11,Campaign 605,email,seg_engaged_90,254670,0.409,0.0113,1011,263767.88,255
cmp_606,2026-07-15,Campaign 606,email,seg_luggage_owners,140494,0.403,0.0123,604,134880.97,203
cmp_607,2026-07-19,Campaign 607,email,seg_insiders,17912,0.394,0.0109,68,15817.87,23
cmp_608,2026-07-23,Campaign 608,email,seg_luggage_owners,156539,0.385,0.0104,569,125689.57,137
