profile_id,event,order_type,timestamp,value_usd
AB-10044,Placed Order,subscription,2026-02-01,44.23
AB-10045,Placed Order,one-time,2026-01-25,69.25
AB-10046,Placed Order,one-time,2025-10-25,72.67
AB-10047,Placed Order,one-time,2026-06-25,56.37
AB-10048,Placed Order,one-time,2025-08-27,32.92
AB-10049,Placed Order,one-time,2026-06-17,76.36
AB-10050,Placed Order,one-time,2025-02-21,63.65
AB-10051,Placed Order,one-time,2026-05-01,48.84
AB-10052,Placed Order,one-time,2026-02-15,65.09
AB-10052,Placed Order,subscription,2026-08-07,60.0
AB-10052,Placed Order,subscription,2026-07-08,54.0
AB-10052,Placed Order,subscription,2026-06-08,61.62
AB-10052,Placed Order,subscription,2026-05-05,62.52
AB-10052,Placed Order,subscription,2026-03-29,56.7
AB-10052,Placed Order,subscription,2026-02-26,44.23
AB-10053,Placed Order,one-time,2026-01-20,63.79
AB-10054,Placed Order,one-time,2025-10-19,69.59
AB-10055,Placed Order,one-time,2026-07-01,77.72
AB-10056,Placed Order,one-time,2025-05-19,77.88
AB-10056,Placed Order,subscription,2026-08-07,66.07
AB-10056,Placed Order,subscription,2026-07-05,55.85
AB-10056,Placed Order,subscription,2026-05-29,56.13
AB-10056,Placed Order,subscription,2026-04-25,59.86
AB-10056,Placed Order,subscription,2026-03-22,59.41
AB-10056,Placed Order,subscription,2026-02-13,64.99
AB-10057,Placed Order,one-time,2025-03-25,64.07
AB-10058,Placed Order,one-time,2025-06-26,82.23
AB-10059,Placed Order,one-time,2026-08-09,52.93
AB-10060,Placed Order,one-time,2025-11-10,59.6
AB-10061,Placed Order,one-time,2025-12-08,85.15
AB-10062,Placed Order,one-time,2026-03-06,78.19
AB-10063,Placed Order,one-time,2025-01-23,50.94
AB-10064,Placed Order,one-time,2026-08-08,26.59
AB-10065,Placed Order,one-time,2025-09-04,58.57
AB-10066,Placed Order,one-time,2025-09-19,45.97
AB-10067,Placed Order,one-time,2026-07-04,62.94
AB-10068,Placed Order,one-time,2026-03-05,76.56
AB-10069,Placed Order,one-time,2025-07-17,40.29
AB-10070,Placed Order,one-time,2025-05-20,66.12
AB-10070,Placed Order,subscription,2026-08-03,50.71
AB-10070,Placed Order,subscription,2026-07-04,51.14
AB-10070,Placed Order,subscription,2026-05-28,64.09
AB-10070,Placed Order,subscription,2026-04-27,45.2
AB-10070,Placed Order,subscription,2026-03-23,52.25
AB-10070,Placed Order,subscription,2026-02-16,55.48
AB-10071,Placed Order,one-time,2025-07-23,48.19
AB-10072,Placed Order,one-time,2024-12-21,42.51
AB-10073,Placed Order,one-time,2025-05-15,84.0
AB-10074,Placed Order,one-time,2025-07-16,46.57
AB-10075,Placed Order,one-time,2026-06-21,86.29
AB-10076,Placed Order,one-time,2026-03-23,62.81
AB-10077,Placed Order,one-time,2025-10-12,49.61
AB-10078,Placed Order,one-time,2025-04-04,67.54
AB-10079,Placed Order,one-time,2025-06-30,80.25
AB-10080,Placed Order,one-time,2025-07-26,83.6
AB-10081,Placed Order,one-time,2025-04-22,57.53
AB-10082,Placed Order,one-time,2025-10-24,57.49
AB-10082,Placed Order,subscription,2026-07-16,63.69
AB-10082,Placed Order,subscription,2026-06-15,54.14
AB-10082,Placed Order,subscription,2026-05-15,53.86
AB-10082,Placed Order,subscription,2026-04-08,57.7
AB-10082,Placed Order,subscription,2026-03-06,54.72
AB-10082,Placed Order,subscription,2026-02-04,56.48
AB-10083,Placed Order,one-time,2025-06-19,42.25
AB-10084,Placed Order,one-time,2025-08-08,41.63
AB-10085,Placed Order,one-time,2026-07-20,79.12
AB-10086,Placed Order,one-time,2025-12-15,51.04
AB-10087,Placed Order,one-time,2026-02-13,48.16
AB-10088,Placed Order,one-time,2025-06-05,88.75
AB-10089,Placed Order,one-time,2025-12-27,56.01
AB-10090,Placed Order,one-time,2025-05-13,64.67
AB-10091,Placed Order,one-time,2025-11-30,61.43
AB-10091,Placed Order,subscription,2026-07-20,55.1
AB-10091,Placed Order,subscription,2026-06-20,62.61
AB-10091,Placed Order,subscription,2026-05-15,66.02
AB-10091,Placed Order,subscription,2026-04-07,65.36
AB-10091,Placed Order,subscription,2026-03-01,69.28
AB-10091,Placed Order,subscription,2026-01-22,53.54
AB-10092,Placed Order,one-time,2026-01-02,61.39
AB-10093,Placed Order,one-time,2025-09-24,51.09
AB-10094,Placed Order,one-time,2025-01-18,84.0
AB-10095,Placed Order,one-time,2026-06-19,72.7
AB-10096,Placed Order,one-time,2025-01-18,59.06
AB-10097,Placed Order,one-time,2025-01-17,62.21
AB-10098,Placed Order,one-time,2025-06-26,79.38
AB-10099,Placed Order,one-time,2025-07-28,50.53
AB-10100,Placed Order,one-time,2025-06-02,63.0
AB-10101,Placed Order,one-time,2025-03-30,83.68
AB-10102,Placed Order,one-time,2025-11-22,83.14
AB-10103,Placed Order,one-time,2025-08-13,63.91
AB-10104,Placed Order,one-time,2026-04-15,84.97
AB-10105,Placed Order,one-time,2025-06-26,46.32
AB-10106,Placed Order,one-time,2025-08-18,78.88
AB-10107,Placed Order,one-time,2026-05-25,73.83
AB-10108,Placed Order,one-time,2025-09-21,64.79
AB-10109,Placed Order,one-time,2026-05-27,57.31
AB-10110,Placed Order,one-time,2025-07-13,65.04
AB-10111,Placed Order,one-time,2025-03-15,55.27
AB-10112,Placed Order,one-time,2025-05-19,44.84
AB-10113,Placed Order,one-time,2026-06-18,50.34
AB-10114,Placed Order,one-time,2025-08-19,71.31
AB-10114,Placed Order,subscription,2026-08-04,59.56
AB-10114,Placed Order,subscription,2026-06-30,64.42
AB-10114,Placed Order,subscription,2026-05-25,42.23
AB-10114,Placed Order,subscription,2026-04-20,64.61
AB-10114,Placed Order,subscription,2026-03-13,64.27
AB-10114,Placed Order,subscription,2026-02-09,51.25
AB-10115,Placed Order,one-time,2025-01-15,96.93
AB-10116,Placed Order,one-time,2025-09-28,63.8
AB-10117,Placed Order,one-time,2025-10-12,41.97
AB-10118,Placed Order,one-time,2025-07-21,58.11
AB-10119,Placed Order,one-time,2025-12-10,68.54
AB-10120,Placed Order,one-time,2026-01-24,71.81
AB-10121,Placed Order,one-time,2026-02-26,74.05
AB-10122,Placed Order,one-time,2026-01-19,55.69
AB-10122,Placed Order,subscription,2026-08-02,50.81
AB-10122,Placed Order,subscription,2026-06-26,58.32
AB-10122,Placed Order,subscription,2026-05-25,65.92
AB-10122,Placed Order,subscription,2026-04-24,60.16
AB-10122,Placed Order,subscription,2026-03-19,49.79
AB-10122,Placed Order,subscription,2026-02-15,64.9
AB-10123,Placed Order,one-time,2025-08-18,63.7
AB-10124,Placed Order,one-time,2025-09-01,96.21
AB-10125,Placed Order,one-time,2026-08-05,63.55
AB-10126,Placed Order,one-time,2026-06-23,56.59
AB-10127,Placed Order,one-time,2026-01-15,42.61
AB-10127,Placed Order,subscription,2026-07-31,56.06
AB-10127,Placed Order,subscription,2026-06-24,67.02
AB-10127,Placed Order,subscription,2026-05-23,60.33
AB-10127,Placed Order,subscription,2026-04-15,66.25
AB-10127,Placed Order,subscription,2026-03-09,45.95
AB-10128,Placed Order,one-time,2025-03-09,80.58
AB-10129,Placed Order,one-time,2026-06-02,42.39
AB-10130,Placed Order,one-time,2025-04-22,48.44
AB-10131,Placed Order,one-time,2026-05-23,57.09
AB-10131,Placed Order,subscription,2026-07-28,56.33
AB-10131,Placed Order,subscription,2026-06-24,57.67
AB-10131,Placed Order,subscription,2026-05-22,58.47
AB-10131,Placed Order,subscription,2026-04-19,63.45
AB-10131,Placed Order,subscription,2026-03-19,62.96
AB-10131,Placed Order,subscription,2026-02-12,69.48
AB-10132,Placed Order,one-time,2026-06-23,28.49
AB-10133,Placed Order,one-time,2026-01-31,66.94
AB-10134,Placed Order,one-time,2025-09-16,87.25
AB-10135,Placed Order,one-time,2025-05-10,55.49
AB-10136,Placed Order,one-time,2026-07-10,51.84
AB-10137,Placed Order,one-time,2025-07-01,71.27
AB-10137,Placed Order,subscription,2026-07-31,68.05
AB-10137,Placed Order,subscription,2026-06-24,54.46
AB-10137,Placed Order,subscription,2026-05-25,58.06
AB-10137,Placed Order,subscription,2026-04-25,54.98
AB-10137,Placed Order,subscription,2026-03-20,54.12
AB-10137,Placed Order,subscription,2026-02-14,52.52
AB-10138,Placed Order,one-time,2025-10-01,85.41
AB-10138,Placed Order,subscription,2026-07-29,67.49
AB-10138,Placed Order,subscription,2026-06-21,60.65
AB-10138,Placed Order,subscription,2026-05-20,58.8
AB-10138,Placed Order,subscription,2026-04-12,59.22
AB-10138,Placed Order,subscription,2026-03-12,61.97
AB-10138,Placed Order,subscription,2026-02-03,59.89
AB-10139,Placed Order,one-time,2025-03-26,40.28
AB-10140,Placed Order,one-time,2026-06-05,74.11
AB-10141,Placed Order,one-time,2025-12-24,70.71
AB-10142,Placed Order,one-time,2026-05-14,55.54
AB-10143,Placed Order,one-time,2025-05-07,70.3
AB-10144,Placed Order,one-time,2026-06-15,68.88
AB-10145,Placed Order,one-time,2026-05-22,63.25
AB-10146,Placed Order,one-time,2025-08-30,77.42
AB-10147,Placed Order,one-time,2025-05-17,71.77
AB-10147,Placed Order,subscription,2026-07-27,70.02
AB-10147,Placed Order,subscription,2026-06-26,51.21
AB-10147,Placed Order,subscription,2026-05-21,59.25
AB-10147,Placed Order,subscription,2026-04-19,59.74
AB-10147,Placed Order,subscription,2026-03-18,66.04
AB-10147,Placed Order,subscription,2026-02-10,53.35
AB-10148,Placed Order,one-time,2025-05-03,73.85
AB-10149,Placed Order,one-time,2025-09-18,34.41
AB-10150,Placed Order,one-time,2026-03-19,31.86
AB-10151,Placed Order,one-time,2026-01-28,64.31
AB-10152,Placed Order,one-time,2025-08-14,69.47
AB-10153,Placed Order,one-time,2026-04-22,60.13
AB-10154,Placed Order,one-time,2025-07-11,57.08
AB-10155,Placed Order,one-time,2025-08-28,81.17
AB-10156,Placed Order,one-time,2026-03-11,84.16
AB-10157,Placed Order,one-time,2025-08-31,53.12
AB-10158,Placed Order,one-time,2026-07-14,64.37
AB-10159,Placed Order,one-time,2025-07-17,44.65
AB-10160,Placed Order,one-time,2026-01-14,88.03
AB-10161,Placed Order,one-time,2025-01-13,40.94
AB-10162,Placed Order,one-time,2025-11-13,45.95
AB-10163,Placed Order,one-time,2025-03-28,48.65
AB-10164,Placed Order,one-time,2025-08-22,46.27
AB-10165,Placed Order,one-time,2025-11-21,81.16
AB-10166,Placed Order,one-time,2025-12-05,96.82
AB-10167,Placed Order,one-time,2026-06-11,65.91
AB-10167,Placed Order,subscription,2026-08-01,55.98
AB-10167,Placed Order,subscription,2026-06-24,38.25
AB-10167,Placed Order,subscription,2026-05-18,59.34
AB-10167,Placed Order,subscription,2026-04-11,56.23
AB-10167,Placed Order,subscription,2026-03-09,67.55
AB-10167,Placed Order,subscription,2026-02-04,54.31
AB-10168,Placed Order,one-time,2026-06-11,79.46
AB-10169,Placed Order,one-time,2026-02-11,89.47
AB-10170,Placed Order,one-time,2025-09-01,45.46
AB-10171,Placed Order,one-time,2026-01-25,58.08
AB-10172,Placed Order,one-time,2025-06-21,64.23
AB-10173,Placed Order,one-time,2025-11-29,86.36
AB-10174,Placed Order,one-time,2026-06-08,60.66
AB-10175,Placed Order,one-time,2025-07-30,46.21
AB-10176,Placed Order,one-time,2025-12-30,61.58
AB-10177,Placed Order,one-time,2026-05-13,40.48
AB-10177,Placed Order,subscription,2026-08-02,64.74
AB-10177,Placed Order,subscription,2026-07-02,53.75
AB-10177,Placed Order,subscription,2026-05-25,59.31
AB-10177,Placed Order,subscription,2026-04-25,55.86
AB-10177,Placed Order,subscription,2026-03-23,52.26
AB-10177,Placed Order,subscription,2026-02-19,55.21
AB-10178,Placed Order,one-time,2025-03-06,70.61
AB-10179,Placed Order,one-time,2025-09-29,84.19
AB-10180,Placed Order,one-time,2026-06-10,64.23
AB-10181,Placed Order,one-time,2025-06-06,70.75
AB-10182,Placed Order,one-time,2025-08-19,76.14
AB-10183,Placed Order,one-time,2025-04-23,44.05
AB-10184,Placed Order,one-time,2026-07-09,53.5
AB-10185,Placed Order,one-time,2026-07-07,78.56
AB-10186,Placed Order,one-time,2026-02-14,59.53
AB-10186,Placed Order,subscription,2026-07-22,64.02
AB-10186,Placed Order,subscription,2026-06-20,65.15
AB-10186,Placed Order,subscription,2026-05-16,51.46
AB-10186,Placed Order,subscription,2026-04-16,51.31
AB-10186,Placed Order,subscription,2026-03-16,51.11
AB-10186,Placed Order,subscription,2026-02-06,64.08
AB-10187,Placed Order,one-time,2026-03-17,54.76
AB-10188,Placed Order,one-time,2025-03-21,86.01
AB-10189,Placed Order,one-time,2026-02-03,55.38
AB-10190,Placed Order,one-time,2026-03-26,42.44
AB-10191,Placed Order,one-time,2026-05-18,52.9
AB-10191,Placed Order,subscription,2026-07-28,56.14
AB-10191,Placed Order,subscription,2026-06-27,54.05
AB-10191,Placed Order,subscription,2026-05-28,54.27
AB-10191,Placed Order,subscription,2026-04-20,66.47
AB-10191,Placed Order,subscription,2026-03-21,54.97
AB-10191,Placed Order,subscription,2026-02-18,53.02
AB-10192,Placed Order,one-time,2026-01-09,73.26
AB-10193,Placed Order,one-time,2025-06-22,55.82
AB-10193,Placed Order,subscription,2026-07-25,60.79
AB-10193,Placed Order,subscription,2026-06-17,55.85
AB-10193,Placed Order,subscription,2026-05-15,50.61
AB-10193,Placed Order,subscription,2026-04-13,62.4
AB-10193,Placed Order,subscription,2026-03-13,57.48
AB-10193,Placed Order,subscription,2026-02-04,57.21
AB-10194,Placed Order,one-time,2025-03-03,37.02
AB-10195,Placed Order,one-time,2025-06-13,62.51
AB-10196,Placed Order,one-time,2025-07-18,36.63
AB-10197,Placed Order,one-time,2025-03-26,48.27
AB-10198,Placed Order,one-time,2026-05-26,90.96
AB-10199,Placed Order,one-time,2025-03-11,46.27
AB-10200,Placed Order,one-time,2026-07-24,61.65
AB-10201,Placed Order,one-time,2025-09-18,75.65
AB-10201,Placed Order,subscription,2026-08-03,59.94
AB-10201,Placed Order,subscription,2026-06-27,50.69
AB-10201,Placed Order,subscription,2026-05-27,58.63
AB-10201,Placed Order,subscription,2026-04-20,55.74
AB-10201,Placed Order,subscription,2026-03-13,49.25
AB-10201,Placed Order,subscription,2026-02-07,52.51
AB-10202,Placed Order,one-time,2025-12-04,66.27
AB-10203,Placed Order,one-time,2025-06-21,73.76
AB-10204,Placed Order,one-time,2026-02-16,90.83
AB-10204,Placed Order,subscription,2026-08-07,63.1
AB-10204,Placed Order,subscription,2026-07-06,61.11
AB-10204,Placed Order,subscription,2026-06-02,60.32
AB-10204,Placed Order,subscription,2026-05-01,57.38
AB-10204,Placed Order,subscription,2026-03-28,60.59
AB-10204,Placed Order,subscription,2026-02-24,60.2
AB-10205,Placed Order,one-time,2026-03-14,41.1
AB-10205,Placed Order,subscription,2026-08-07,56.91
AB-10205,Placed Order,subscription,2026-07-04,50.13
AB-10205,Placed Order,subscription,2026-06-02,62.55
AB-10205,Placed Order,subscription,2026-04-26,54.29
AB-10205,Placed Order,subscription,2026-03-27,63.34
AB-10205,Placed Order,subscription,2026-02-21,58.47
AB-10206,Placed Order,one-time,2025-07-08,64.94
AB-10207,Placed Order,one-time,2025-05-20,71.24
AB-10208,Placed Order,one-time,2025-05-06,46.36
AB-10209,Placed Order,one-time,2025-10-12,51.87
AB-10210,Placed Order,one-time,2025-09-29,78.92
AB-10211,Placed Order,one-time,2026-05-31,47.28
AB-10211,Placed Order,subscription,2026-08-03,49.25
AB-10211,Placed Order,subscription,2026-06-27,50.28
AB-10211,Placed Order,subscription,2026-05-20,52.87
AB-10211,Placed Order,subscription,2026-04-13,50.5
AB-10211,Placed Order,subscription,2026-03-10,60.03
AB-10211,Placed Order,subscription,2026-02-06,59.05
AB-10212,Placed Order,one-time,2025-12-05,51.57
AB-10213,Placed Order,one-time,2025-05-22,87.27
AB-10214,Placed Order,one-time,2026-03-25,57.3
AB-10215,Placed Order,one-time,2026-03-24,75.39
AB-10216,Placed Order,one-time,2024-12-29,66.1
AB-10217,Placed Order,one-time,2025-01-29,53.3
AB-10218,Placed Order,one-time,2025-06-18,64.47
AB-10219,Placed Order,one-time,2025-04-07,83.02
AB-10220,Placed Order,one-time,2026-05-15,51.14
AB-10221,Placed Order,one-time,2025-09-05,53.14
AB-10222,Placed Order,one-time,2025-07-23,101.37
AB-10223,Placed Order,one-time,2026-05-15,74.27
AB-10224,Placed Order,one-time,2026-06-03,42.49
AB-10225,Placed Order,one-time,2025-12-04,57.66
AB-10226,Placed Order,one-time,2026-07-12,54.51
AB-10227,Placed Order,one-time,2026-06-07,62.33
AB-10228,Placed Order,one-time,2025-07-05,66.34
AB-10229,Placed Order,one-time,2026-05-16,58.83
AB-10230,Placed Order,one-time,2026-03-10,69.13
AB-10230,Placed Order,subscription,2026-07-13,57.75
AB-10230,Placed Order,subscription,2026-06-05,61.82
AB-10230,Placed Order,subscription,2026-05-06,49.61
AB-10230,Placed Order,subscription,2026-04-04,43.7
AB-10230,Placed Order,subscription,2026-02-28,42.51
AB-10230,Placed Order,subscription,2026-01-21,63.2
AB-10231,Placed Order,one-time,2025-08-08,64.44
AB-10232,Placed Order,one-time,2025-05-13,64.33
AB-10233,Placed Order,one-time,2025-10-19,85.29
AB-10234,Placed Order,one-time,2025-07-31,51.23
AB-10235,Placed Order,one-time,2025-11-30,94.56
AB-10236,Placed Order,one-time,2025-08-16,50.92
AB-10237,Placed Order,one-time,2025-02-11,84.13
AB-10238,Placed Order,one-time,2026-03-25,95.03
AB-10239,Placed Order,one-time,2026-03-14,44.89
AB-10240,Placed Order,one-time,2025-06-24,56.9
AB-10241,Placed Order,one-time,2025-04-28,54.44
AB-10242,Placed Order,one-time,2025-10-24,51.97
AB-10243,Placed Order,one-time,2025-04-27,93.48
AB-10244,Placed Order,one-time,2025-11-03,37.89
AB-10245,Placed Order,one-time,2025-10-02,63.26
AB-10246,Placed Order,one-time,2026-06-09,13.98
AB-10246,Placed Order,subscription,2026-07-12,52.63
AB-10246,Placed Order,subscription,2026-06-05,48.68
AB-10246,Placed Order,subscription,2026-05-01,54.37
AB-10246,Placed Order,subscription,2026-04-01,48.97
AB-10246,Placed Order,subscription,2026-02-28,56.69
AB-10246,Placed Order,subscription,2026-01-29,55.31
AB-10247,Placed Order,one-time,2026-05-11,54.17
AB-10248,Placed Order,one-time,2026-06-01,54.88
AB-10249,Placed Order,one-time,2025-06-15,53.67
AB-10250,Placed Order,one-time,2026-02-06,72.41
AB-10250,Placed Order,subscription,2026-08-04,54.92
AB-10250,Placed Order,subscription,2026-06-27,55.52
AB-10250,Placed Order,subscription,2026-05-25,60.0
AB-10250,Placed Order,subscription,2026-04-22,47.95
AB-10250,Placed Order,subscription,2026-03-23,68.1
AB-10250,Placed Order,subscription,2026-02-20,63.85
AB-10251,Placed Order,one-time,2025-02-26,48.28
AB-10252,Placed Order,one-time,2025-12-11,72.73
AB-10252,Placed Order,subscription,2026-08-09,52.27
AB-10252,Placed Order,subscription,2026-07-10,53.66
AB-10252,Placed Order,subscription,2026-06-05,50.39
AB-10252,Placed Order,subscription,2026-04-30,63.71
AB-10252,Placed Order,subscription,2026-03-26,57.29
AB-10252,Placed Order,subscription,2026-02-19,58.62
AB-10253,Placed Order,one-time,2025-04-15,56.19
AB-10254,Placed Order,one-time,2025-11-09,77.22
AB-10254,Placed Order,subscription,2026-07-14,54.12
AB-10254,Placed Order,subscription,2026-06-07,56.44
AB-10254,Placed Order,subscription,2026-05-02,59.64
AB-10254,Placed Order,subscription,2026-03-27,53.33
AB-10254,Placed Order,subscription,2026-02-19,63.1
AB-10255,Placed Order,one-time,2026-01-14,77.34
AB-10256,Placed Order,one-time,2026-06-12,69.9
AB-10257,Placed Order,one-time,2026-07-29,72.01
AB-10258,Placed Order,one-time,2025-11-08,80.26
AB-10259,Placed Order,one-time,2026-05-24,60.66
AB-10260,Placed Order,one-time,2026-04-14,44.16
AB-10261,Placed Order,one-time,2026-03-10,91.99
AB-10262,Placed Order,one-time,2026-05-23,49.74
AB-10263,Placed Order,one-time,2026-01-20,54.14
AB-10263,Placed Order,subscription,2026-07-11,66.56
AB-10263,Placed Order,subscription,2026-06-07,58.36
AB-10263,Placed Order,subscription,2026-05-02,61.04
AB-10263,Placed Order,subscription,2026-03-31,63.95
AB-10263,Placed Order,subscription,2026-02-26,60.3
AB-10263,Placed Order,subscription,2026-01-19,63.41
AB-10264,Placed Order,one-time,2025-03-23,89.08
AB-10265,Placed Order,one-time,2025-02-02,69.36
AB-10266,Placed Order,one-time,2026-05-14,68.47
AB-10266,Placed Order,subscription,2026-07-09,53.6
AB-10266,Placed Order,subscription,2026-06-01,57.73
AB-10266,Placed Order,subscription,2026-05-02,53.73
AB-10266,Placed Order,subscription,2026-03-31,56.81
AB-10266,Placed Order,subscription,2026-02-22,72.95
AB-10266,Placed Order,subscription,2026-01-22,50.8
AB-10267,Placed Order,one-time,2026-05-16,35.92
AB-10268,Placed Order,one-time,2025-11-16,76.03
AB-10269,Placed Order,one-time,2024-12-20,91.51
AB-10270,Placed Order,one-time,2025-11-12,59.79
AB-10271,Placed Order,one-time,2026-05-09,59.16
AB-10272,Placed Order,one-time,2025-01-24,63.61
AB-10273,Placed Order,one-time,2026-01-20,44.59
AB-10274,Placed Order,one-time,2026-04-01,81.93
AB-10275,Placed Order,one-time,2025-07-02,58.28
AB-10276,Placed Order,one-time,2025-10-12,50.91
AB-10277,Placed Order,one-time,2025-11-28,75.11
AB-10278,Placed Order,one-time,2025-09-15,51.34
AB-10279,Placed Order,one-time,2024-12-20,66.53
AB-10280,Placed Order,one-time,2025-07-09,46.1
AB-10281,Placed Order,one-time,2025-08-15,24.66
AB-10282,Placed Order,one-time,2025-12-29,68.03
AB-10283,Placed Order,one-time,2025-09-13,48.82
AB-10284,Placed Order,one-time,2025-07-01,61.7
AB-10285,Placed Order,one-time,2026-02-13,59.19
AB-10286,Placed Order,one-time,2026-02-10,60.81
AB-10287,Placed Order,one-time,2025-12-27,81.77
AB-10288,Placed Order,one-time,2025-09-01,72.13
AB-10289,Placed Order,one-time,2025-06-03,75.25
AB-10289,Placed Order,subscription,2026-07-12,56.03
AB-10289,Placed Order,subscription,2026-06-12,52.71
AB-10289,Placed Order,subscription,2026-05-09,52.51
AB-10289,Placed Order,subscription,2026-04-04,64.53
AB-10289,Placed Order,subscription,2026-03-05,56.17
AB-10289,Placed Order,subscription,2026-02-02,65.14
AB-10290,Placed Order,one-time,2025-12-23,69.29
AB-10291,Placed Order,one-time,2025-07-22,81.79
AB-10292,Placed Order,one-time,2026-02-23,63.87
AB-10293,Placed Order,one-time,2025-02-03,41.81
AB-10294,Placed Order,one-time,2025-04-18,68.59
AB-10294,Placed Order,subscription,2026-07-22,62.59
AB-10294,Placed Order,subscription,2026-06-17,62.23
AB-10294,Placed Order,subscription,2026-05-14,49.92
AB-10294,Placed Order,subscription,2026-04-10,54.38
AB-10294,Placed Order,subscription,2026-03-10,49.58
AB-10294,Placed Order,subscription,2026-01-31,48.21
AB-10295,Placed Order,one-time,2026-01-07,48.54
AB-10295,Placed Order,subscription,2026-08-02,61.18
AB-10295,Placed Order,subscription,2026-06-26,61.7
AB-10295,Placed Order,subscription,2026-05-21,50.91
AB-10295,Placed Order,subscription,2026-04-20,69.12
AB-10295,Placed Order,subscription,2026-03-18,60.39
AB-10295,Placed Order,subscription,2026-02-13,61.5
AB-10296,Placed Order,one-time,2025-05-11,40.58
AB-10297,Placed Order,one-time,2026-05-15,43.49
AB-10298,Placed Order,one-time,2025-04-11,43.75
AB-10299,Placed Order,one-time,2026-03-13,59.03
AB-10300,Placed Order,one-time,2026-03-12,38.08
AB-10301,Placed Order,one-time,2025-01-22,54.04
AB-10302,Placed Order,one-time,2025-01-07,74.57
AB-10303,Placed Order,one-time,2025-06-16,72.94
AB-10304,Placed Order,one-time,2025-09-05,86.59
AB-10305,Placed Order,one-time,2025-03-25,74.8
AB-10306,Placed Order,one-time,2025-06-10,77.2
AB-10307,Placed Order,one-time,2026-06-14,54.07
AB-10308,Placed Order,one-time,2026-01-17,56.63
AB-10309,Placed Order,one-time,2026-04-06,75.18
AB-10310,Placed Order,one-time,2026-05-10,74.88
AB-10311,Placed Order,one-time,2025-11-08,33.25
AB-10312,Placed Order,one-time,2025-10-02,41.17
AB-10313,Placed Order,one-time,2025-10-05,47.33
AB-10314,Placed Order,one-time,2025-10-10,49.1
AB-10314,Placed Order,subscription,2026-08-03,65.9
AB-10314,Placed Order,subscription,2026-07-04,57.9
AB-10314,Placed Order,subscription,2026-06-02,54.99
AB-10314,Placed Order,subscription,2026-05-01,56.05
AB-10314,Placed Order,subscription,2026-03-29,53.24
